|      Country       | Political Score | Economic Score | Social Score | Cultural Score |  Environmental Score  |  ICS  |
|--------------------|-----------------|----------------|--------------|----------------|-----------------------|-------|
| Afghanistan        |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Albania            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Algeria            |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Andorra            |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Angola             |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Antigua and Barbuda|              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Argentina          |              60 |             55 |           70 |             60 |                    40 |  57.0 |
| Armenia            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Australia          |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| Austria            |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Azerbaijan         |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Bahamas            |              60 |             55 |           70 |             60 |                    40 |  57.0 |
| Bahrain            |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| Bangladesh         |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Barbados           |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| Belarus            |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Belgium            |              85 |             80 |           90 |             75 |                    45 |  75.5 |
| Belize             |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Benin              |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Bhutan             |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Bolivia            |              50 |             45 |           65 |             55 |                    35 |  50.5 |
| Bosnia and Herz.   |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Botswana           |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Brazil             |              60 |             55 |           70 |             60 |                    40 |  57.0 |
| Brunei             |              65 |             60 |           75 |             65 |                    40 |  61.5 |
| Bulgaria           |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Burkina Faso       |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Burundi            |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Cabo Verde         |              55 |             50 |           65 |             55 |                    35 |  52.0 |
| Cambodia           |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Cameroon           |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Canada             |              90 |             85 |           95 |             80 |                    50 |  80.0 |
| Central Africa Rep.|              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Chad               |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Chile              |              75 |             70 |           80 |             65 |                    40 |  68.0 |
| China              |              60 |             55 |           70 |             60 |                    40 |  57.0 |
| Colombia           |              60 |             55 |           70 |             60 |                    40 |  57.0 |
| Comoros            |              30 |             25 |           60 |             55 |                    35 |  40.5 |
| Congo              |              20 |             15 |           50 |             45 |                    25 |  31.5 |
| Côte d'Ivoire      |              30 |             25 |           60 |             55 |                    35 |  40.5 |
